task_id,config_id,task_kind,status,eval_mode,heldout_dataset,randomize,out_dir,imputation,min_train_feature_presence,min_train_group_feature_presence,max_train_dataset_mean_shift,min_train_agebin_feature_presence,target_transform,batch_size,weight_decay,huber_beta,amp,bottleneck,cnn_channels,cnn_kernel,token_dim,transformer_heads,transformer_layers,dae_latent,dae_noise,dae_pretrain_epochs,architecture,n_feature_prefilter,preprocess,width,depth,dropout,lr,n_samples,pearson_r,mae_weeks,medae_weeks,rmse_weeks,r2,cross_dataset_mae,cr_detection_auc,cr_cohens_d,exec_time_sec,group_score,lodo_mean_mae_weeks,lodo_worst_mae_weeks,lodo_mean_pearson_r,lodo_min_pearson_r,lodo_cr_auc,old_104w_weighted_mae_weeks,lodo_score,final_score
group::v23_059_wide_deep_top5000_robust_w256_bn64_do0p1_lr0p0003,v23_059_wide_deep_top5000_robust_w256_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_059_wide_deep_top5000_robust_w256_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,5000,robust,256,3,0.1,0.0003,1219,0.5816,29.401,22.171,39.313,-0.1392,28.777,0.4624,-0.0642,68.3,0.404804,,,,,,,-1.0,0.404804
group::v23_060_wide_deep_top5000_robust_w512_bn64_do0p1_lr0p0003,v23_060_wide_deep_top5000_robust_w512_bn64_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_060_wide_deep_top5000_robust_w512_bn64_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,wide_deep,5000,robust,512,3,0.1,0.0003,1219,0.5615,29.019,22.514,38.918,-0.1164,28.773,0.4724,-0.0348,73.4,0.400769,,,,,,,-1.0,0.400769
group::v23_064_cnn1d_top1000_standard_ch64_k15_do0p1_lr0p001,v23_064_cnn1d_top1000_standard_ch64_k15_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_064_cnn1d_top1000_standard_ch64_k15_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,cnn1d,1000,standard,256,3,0.1,0.001,1219,0.3721,32.519,26.191,42.03,-0.302,31.224,0.8984,1.2439,90.5,0.396432,,,,,,,-1.0,0.396432
group::v23_063_cnn1d_top1000_standard_ch64_k5_do0p1_lr0p001,v23_063_cnn1d_top1000_standard_ch64_k5_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_063_cnn1d_top1000_standard_ch64_k5_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,5,16,4,2,64,0.1,0,cnn1d,1000,standard,256,3,0.1,0.001,1219,0.3563,32.538,27.501,41.361,-0.2609,32.022,0.896,1.1754,91.0,0.390242,,,,,,,-1.0,0.390242
group::v23_033_res_mlp_top5000_standard_w192_d3_do0p1_lr0p0003,v23_033_res_mlp_top5000_standard_w192_d3_do0p1_lr0p0003,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_033_res_mlp_top5000_standard_w192_d3_do0p1_lr0p0003,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,5000,standard,192,3,0.1,0.0003,1219,0.5013,28.318,21.397,37.652,-0.0449,31.051,0.4519,0.0586,68.4,0.377977,,,,,,,-1.0,0.377977
group::v23_061_cnn1d_top1000_standard_ch32_k5_do0p1_lr0p001,v23_061_cnn1d_top1000_standard_ch32_k5_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_061_cnn1d_top1000_standard_ch32_k5_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,32,5,16,4,2,64,0.1,0,cnn1d,1000,standard,256,3,0.1,0.001,1219,0.3179,33.479,27.311,44.352,-0.4499,33.339,0.8113,0.76,74.7,0.357722,,,,,,,-1.0,0.357722
group::v23_067_cnn1d_top2000_standard_ch64_k5_do0p1_lr0p001,v23_067_cnn1d_top2000_standard_ch64_k5_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_067_cnn1d_top2000_standard_ch64_k5_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,5,16,4,2,64,0.1,0,cnn1d,2000,standard,256,3,0.1,0.001,1219,0.3021,32.624,25.366,42.962,-0.3604,33.162,0.8021,0.7053,79.7,0.353513,,,,,,,-1.0,0.353513
group::v23_065_cnn1d_top2000_standard_ch32_k5_do0p1_lr0p001,v23_065_cnn1d_top2000_standard_ch32_k5_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_065_cnn1d_top2000_standard_ch32_k5_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,32,5,16,4,2,64,0.1,0,cnn1d,2000,standard,256,3,0.1,0.001,1219,0.2959,33.095,26.091,43.262,-0.3795,33.067,0.7871,0.6955,74.1,0.346854,,,,,,,-1.0,0.346854
group::v23_062_cnn1d_top1000_standard_ch32_k15_do0p1_lr0p001,v23_062_cnn1d_top1000_standard_ch32_k15_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_062_cnn1d_top1000_standard_ch32_k15_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,32,15,16,4,2,64,0.1,0,cnn1d,1000,standard,256,3,0.1,0.001,1219,0.265,36.408,27.65,49.801,-0.828,37.522,0.8909,0.9421,79.7,0.342266,,,,,,,-1.0,0.342266
group::v23_066_cnn1d_top2000_standard_ch32_k15_do0p1_lr0p001,v23_066_cnn1d_top2000_standard_ch32_k15_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_066_cnn1d_top2000_standard_ch32_k15_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,32,15,16,4,2,64,0.1,0,cnn1d,2000,standard,256,3,0.1,0.001,1219,0.2576,35.916,25.088,49.607,-0.8138,36.908,0.8518,0.798,64.3,0.334368,,,,,,,-1.0,0.334368
group::v23_068_cnn1d_top2000_standard_ch64_k15_do0p1_lr0p001,v23_068_cnn1d_top2000_standard_ch64_k15_do0p1_lr0p001,group,skipped_existing,groupkfold,,False,results/v23_cloud_max_batch/groupkfold/v23_068_cnn1d_top2000_standard_ch64_k15_do0p1_lr0p001,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,cnn1d,2000,standard,256,3,0.1,0.001,1219,0.2277,33.825,26.636,44.248,-0.4431,33.408,0.8209,0.7062,101.8,0.325709,,,,,,,-1.0,0.325709
