task_id,config_id,task_kind,status,eval_mode,heldout_dataset,randomize,out_dir,imputation,min_train_feature_presence,min_train_group_feature_presence,max_train_dataset_mean_shift,min_train_agebin_feature_presence,target_transform,batch_size,weight_decay,huber_beta,amp,bottleneck,cnn_channels,cnn_kernel,token_dim,transformer_heads,transformer_layers,dae_latent,dae_noise,dae_pretrain_epochs,architecture,n_feature_prefilter,preprocess,width,depth,dropout,lr,n_samples,pearson_r,mae_weeks,medae_weeks,rmse_weeks,r2,cross_dataset_mae,exec_time_sec,old_104w_n,old_104w_mae_weeks,cr_detection_auc,cr_cohens_d
lodo::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003::GSE60012,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,152,0.7301,15.072,10.145,20.52,-4.5777,15.072,20.5,0,,,
lodo::v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003::GSE120137,v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,3,0.1,0.0003,549,0.6041,22.958,16.479,30.757,-0.1338,22.958,15.3,0,,,
lodo::v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003::GSE213628,v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE213628,False,results/v23_cloud_max_batch/lodo/v23_004_res_mlp_top1000_robust_w192_d3_do0p1_lr0p0003/GSE213628,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.1,0.0003,120,0.575,26.205,23.097,31.78,0.2183,26.205,27.2,42,31.043,,
lodo::v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003::GSE80672,v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,3,0.1,0.0003,255,0.8703,19.021,13.786,24.814,0.7126,19.021,24.4,74,27.878,0.7399,0.8344
lodo::v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003::GSE93957,v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,3,0.1,0.0003,62,0.7873,7.3,4.874,9.189,0.6038,7.3,25.7,0,,,
lodo::v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003::GSE121141,v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,3,0.1,0.0003,81,0.5963,30.515,23.662,40.333,-0.0902,30.515,21.1,19,61.719,,
lodo::v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003::GSE60012,v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,3,0.1,0.0003,152,0.7558,10.114,5.824,14.955,-1.9626,10.114,23.9,0,,,
lodo::v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003::GSE213628,v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE213628,False,results/v23_cloud_max_batch/lodo/v23_014_res_mlp_top2000_robust_w128_d3_do0p1_lr0p0003/GSE213628,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,3,0.1,0.0003,120,0.5464,25.165,23.157,30.749,0.2682,25.165,17.3,42,35.028,,
lodo::v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001::GSE120137,v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.15,0.0001,549,0.6472,19.719,15.267,26.045,0.187,19.719,19.0,0,,,
lodo::v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001::GSE80672,v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.15,0.0001,255,0.9216,26.127,24.511,30.292,0.5717,26.127,25.1,74,24.772,0.8024,1.1441
lodo::v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001::GSE93957,v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.15,0.0001,62,0.7779,7.113,4.746,9.448,0.5812,7.113,27.6,0,,,
lodo::v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001::GSE121141,v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.15,0.0001,81,0.5365,29.898,20.794,39.926,-0.0683,29.898,31.2,19,61.577,,
lodo::v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001::GSE60012,v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.15,0.0001,152,0.7851,8.92,6.006,12.857,-1.1895,8.92,25.9,0,,,
lodo::v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003::GSE120137,v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,2,0.1,0.0003,549,0.6073,20.959,14.333,27.929,0.0651,20.959,12.1,0,,,
lodo::v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001::GSE213628,v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE213628,False,results/v23_cloud_max_batch/lodo/v23_046_res_mlp_top2000_robust_w192_d3_do0p15_lr0p0001/GSE213628,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,192,3,0.15,0.0001,120,0.5835,24.916,20.452,30.602,0.2752,24.916,38.1,42,35.152,,
lodo::v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003::GSE80672,v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,2,0.1,0.0003,255,0.8897,19.539,17.732,23.646,0.739,19.539,17.5,74,23.022,0.7934,1.0747
lodo::v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003::GSE93957,v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,2,0.1,0.0003,62,0.7861,7.687,6.364,9.155,0.6068,7.687,18.0,0,,,
lodo::v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003::GSE121141,v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,2,0.1,0.0003,81,0.5854,27.761,20.16,37.499,0.0576,27.761,24.8,19,55.862,,
lodo::v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003::GSE60012,v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,2,0.1,0.0003,152,0.6876,7.365,4.919,11.243,-0.6744,7.365,20.0,0,,,
lodo::v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003::GSE213628,v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003,lodo,completed,heldout,GSE213628,False,results/v23_cloud_max_batch/lodo/v23_013_res_mlp_top2000_robust_w128_d2_do0p1_lr0p0003/GSE213628,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,2000,robust,128,2,0.1,0.0003,120,0.5076,28.305,23.302,36.401,-0.0256,28.305,19.9,42,25.616,,
lodo::v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003::GSE120137,v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.05,0.0003,549,0.6174,22.646,17.078,30.141,-0.0888,22.646,15.5,0,,,
lodo::v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003::GSE80672,v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.05,0.0003,255,0.9205,17.046,14.98,20.983,0.7945,17.046,20.8,74,22.139,0.8761,1.5518
lodo::v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003::GSE93957,v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.05,0.0003,62,0.7594,8.948,5.43,11.901,0.3355,8.948,22.7,0,,,
lodo::v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003::GSE121141,v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.05,0.0003,81,0.5883,31.086,19.594,41.681,-0.1643,31.086,26.1,19,66.909,,
lodo::v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003::GSE60012,v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.05,0.0003,152,0.7374,10.591,7.854,14.536,-1.799,10.591,27.6,0,,,
lodo::v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003::GSE213628,v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003,lodo,completed,heldout,GSE213628,False,results/v23_cloud_max_batch/lodo/v23_037_res_mlp_top1000_robust_w192_d3_do0p05_lr0p0003/GSE213628,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.05,0.0003,120,0.5566,25.014,21.215,31.759,0.2193,25.014,24.6,42,39.825,,
lodo::v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001::GSE120137,v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.15,0.0001,549,0.6313,21.816,17.804,28.682,0.014,21.816,25.5,0,,,
lodo::v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001::GSE93957,v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.15,0.0001,62,0.7492,7.774,5.799,10.125,0.5191,7.774,24.9,0,,,
lodo::v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001::GSE80672,v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.15,0.0001,255,0.9087,15.825,13.471,21.191,0.7904,15.825,30.5,74,14.052,0.8494,1.2873
lodo::v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001::GSE121141,v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.15,0.0001,81,0.5415,30.796,21.986,41.005,-0.1268,30.796,26.9,19,65.31,,
lodo::v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003::GSE120137,v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE120137,False,results/v23_cloud_max_batch/lodo/v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003/GSE120137,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,256,3,0.1,0.0003,549,0.6163,23.467,18.772,31.32,-0.1757,23.467,16.4,0,,,
lodo::v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001::GSE60012,v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.15,0.0001,152,0.7188,17.5,11.398,24.494,-6.9474,17.5,37.8,0,,,
lodo::v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001::GSE213628,v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001,lodo,completed,heldout,GSE213628,False,results/v23_cloud_max_batch/lodo/v23_040_res_mlp_top1000_robust_w192_d3_do0p15_lr0p0001/GSE213628,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1000,robust,192,3,0.15,0.0001,120,0.487,27.895,26.633,33.789,0.1163,27.895,37.0,42,35.23,,
lodo::v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003::GSE80672,v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE80672,False,results/v23_cloud_max_batch/lodo/v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003/GSE80672,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,256,3,0.1,0.0003,255,0.8826,15.678,11.739,22.94,0.7544,15.678,27.2,74,13.492,0.8114,1.0055
lodo::v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003::GSE93957,v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE93957,False,results/v23_cloud_max_batch/lodo/v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003/GSE93957,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,256,3,0.1,0.0003,62,0.798,7.573,5.549,9.411,0.5845,7.573,20.8,0,,,
lodo::v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003::GSE121141,v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE121141,False,results/v23_cloud_max_batch/lodo/v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003/GSE121141,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,256,3,0.1,0.0003,81,0.6035,28.854,16.254,39.774,-0.0602,28.854,23.0,19,63.17,,
lodo::v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003::GSE60012,v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003,lodo,completed,heldout,GSE60012,False,results/v23_cloud_max_batch/lodo/v23_012_res_mlp_top1500_robust_w256_d3_do0p1_lr0p0003/GSE60012,median,0.8,0.8,0.125,0.8,log1p_days,64,0.001,0.5,True,64,64,15,16,4,2,64,0.1,0,res_mlp,1500,robust,256,3,0.1,0.0003,152,0.7772,11.402,7.325,15.702,-2.2659,11.402,20.3,0,,,
