dataset,run_accession,gsm,sample_accession,experiment_accession,experiment_title,library_strategy,library_source,library_selection,library_layout,local_fastq_count,local_fastq_complete,expected_fastq,latest_log_status,latest_log_failure_count,latest_log_error_class,recommended_repair_action,run_total_bases,run_total_spots,ena_error,ena_library_layout,fastq_urls,fastq_md5s,fastq_bytes,ena_n_fastq,current_local_fastq_complete,current_local_fastq_count,current_local_fastq_paths,target_fastq_dir,dataset_rank,repair_error_rank,download_strategy,download_allowed,blocked_reason,repair_priority
GSE121141,SRR8033012,GSM3426812,SRS3924400,SRX4865583,GSM3426812: L3008; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8296246800,27654156,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8033012/SRR8033012_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8033012/SRR8033012_2.fastq.gz,47d107c7579570bfb3b750fc2e01998a;2817453bc07db390919ef26ba9318cf4,1809339854;2208485863,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,160
GSE121141,SRR8033011,GSM3426812,SRS3924400,SRX4865583,GSM3426812: L3008; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,8062483800,26874946,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/001/SRR8033011/SRR8033011_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/001/SRR8033011/SRR8033011_2.fastq.gz,ab2897552a8c0d2a163ce9bbe062076f;556a62120bd0b3e145a7262fdba9d6a1,1785900672;2164055941,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,161
GSE121141,SRR8032979,GSM3426790,SRS3924384,SRX4865561,GSM3426790: H3003; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,7454118300,24847061,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8032979/SRR8032979_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/009/SRR8032979/SRR8032979_2.fastq.gz,b7e1c089fb28e276aa3477ba1b3d4914;7dd00ce9350ed1f3950d45df17190834,1555812099;1943421723,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,162
GSE121141,SRR8032980,GSM3426790,SRS3924384,SRX4865561,GSM3426790: H3003; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,7442336700,24807789,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8032980/SRR8032980_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/000/SRR8032980/SRR8032980_2.fastq.gz,9eef0bf27a6a85ed8daad67578722228;09b112f260f973639c90f2982d8de977,1525212196;1894102373,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,163
GSE121141,SRR8033003,GSM3426806,SRS3924396,SRX4865577,GSM3426806: L2003; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,7176661800,23922206,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/003/SRR8033003/SRR8033003_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/003/SRR8033003/SRR8033003_2.fastq.gz,c3272b3ae0cd6b2eb26e886c72412c69;5ef8e51746caac76ca56f9d309a4eecb,1491000741;1911149333,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,164
GSE121141,SRR8033002,GSM3426806,SRS3924396,SRX4865577,GSM3426806: L2003; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,7145248800,23817496,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8033002/SRR8033002_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/002/SRR8033002/SRR8033002_2.fastq.gz,27a3403e2fc25a8bdb5615ec875b0be7;b728f0e62dc9984664d27292ee2e0d45,1514892762;1957635253,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,165
GSE121141,SRR8032964,GSM3426779,SRS3924374,SRX4865550,GSM3426779: H1003; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,7138090200,23793634,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8032964/SRR8032964_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8032964/SRR8032964_2.fastq.gz,40991db4c9fa3e353eb8d7a3496338fd;7f4914e0a42f799b3cdb980a0cfcc834,1538159555;1822620732,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,166
GSE121141,SRR8032998,GSM3426803,SRS3924394,SRX4865574,GSM3426803: L1207; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,7023717300,23412391,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/008/SRR8032998/SRR8032998_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/008/SRR8032998/SRR8032998_2.fastq.gz,fceaccee5069ce483d52ef5ef7fde8af;61fb99e612b0d849d76e84c7bd5a0d05,1622756700;1839574287,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,167
GSE121141,SRR8033013,GSM3426813,SRS3924401,SRX4865584,GSM3426813: L3009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,6972008100,23240027,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/003/SRR8033013/SRR8033013_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/003/SRR8033013/SRR8033013_2.fastq.gz,005e4929ee6de7ef917fcc87092cc5e2;7d5ab9964fec1484b173d5ebdcdcdd10,1537019893;1901605257,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,168
GSE121141,SRR8033014,GSM3426813,SRS3924401,SRX4865584,GSM3426813: L3009; Mus musculus; Bisulfite-Seq,Bisulfite-Seq,GENOMIC,RANDOM,PAIRED,0,False,paired _1/_2 FASTQ,,,not_attempted_or_log_missing,schedule missing run after dataset-level priority and metadata gate; prefer ENA direct FASTQ for large batches,6942838200,23142794,,PAIRED,https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8033014/SRR8033014_1.fastq.gz;https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR803/004/SRR8033014/SRR8033014_2.fastq.gz,d6c54a4cd6db423cae4b75ddf828ff51;aa2c57446257a784039a990fe9f94bb3,1501628933;1847992684,2,False,0,,/data/mouse_methyl/raw/GSE121141/fastq,1,1,ena_direct_first_then_sra_if_needed,True,,169
