dataset,run_accession,local_fastq_files,local_fastq_count,local_size_bytes,mates_present,sample_id,library_layout,library_strategy,library_selection,sample_accession,experiment_accession,experiment_title,biosample,bioproject,run_total_bases,metadata_status
GSE120137,SRR7871501,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871501.fastq,1,9784933638,,GSM3394183,SINGLE,Bisulfite-Seq,RANDOM,SRS3796278,SRX4710580,GSM3394183: Mouse_Adipose_SH012; Mus musculus; Bisulfite-Seq,SAMN10085183,PRJNA491712,3125605186,mapped
GSE120137,SRR7871502,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871502.fastq,1,10509492294,,GSM3394184,SINGLE,Bisulfite-Seq,RANDOM,SRS3796279,SRX4710581,GSM3394184: Mouse_Adipose_SH013; Mus musculus; Bisulfite-Seq,SAMN10085182,PRJNA491712,3357014063,mapped
GSE120137,SRR7871503,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871503.fastq,1,10851467230,,GSM3394185,SINGLE,Bisulfite-Seq,RANDOM,SRS3796280,SRX4710582,GSM3394185: Mouse_Adipose_SH014; Mus musculus; Bisulfite-Seq,SAMN10085181,PRJNA491712,3465970439,mapped
GSE120137,SRR7871504,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871504.fastq,1,8476702902,,GSM3394186,SINGLE,Bisulfite-Seq,RANDOM,SRS3796281,SRX4710583,GSM3394186: Mouse_Adipose_SH015; Mus musculus; Bisulfite-Seq,SAMN10085180,PRJNA491712,2708994831,mapped
GSE120137,SRR7871505,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871505.fastq,1,12005359262,,GSM3394187,SINGLE,Bisulfite-Seq,RANDOM,SRS3796282,SRX4710584,GSM3394187: Mouse_Adipose_SH016; Mus musculus; Bisulfite-Seq,SAMN10085179,PRJNA491712,3833659323,mapped
GSE120137,SRR7871506,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871506.fastq,1,10661525434,,GSM3394188,SINGLE,Bisulfite-Seq,RANDOM,SRS3796284,SRX4710585,GSM3394188: Mouse_Adipose_SH017; Mus musculus; Bisulfite-Seq,SAMN10085178,PRJNA491712,3405404779,mapped
GSE120137,SRR7871507,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871507.fastq,1,10481354538,,GSM3394189,SINGLE,Bisulfite-Seq,RANDOM,SRS3796283,SRX4710586,GSM3394189: Mouse_Adipose_SH018; Mus musculus; Bisulfite-Seq,SAMN10085177,PRJNA491712,3348063443,mapped
GSE120137,SRR7871508,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871508.fastq,1,10680700692,,GSM3394190,SINGLE,Bisulfite-Seq,RANDOM,SRS3796285,SRX4710587,GSM3394190: Mouse_Adipose_SH019; Mus musculus; Bisulfite-Seq,SAMN10085176,PRJNA491712,3411551437,mapped
GSE120137,SRR7871509,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871509.fastq,1,10033185038,,GSM3394191,SINGLE,Bisulfite-Seq,RANDOM,SRS3796287,SRX4710588,GSM3394191: Mouse_Adipose_SH020; Mus musculus; Bisulfite-Seq,SAMN10085175,PRJNA491712,3205236111,mapped
GSE120137,SRR7871510,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871510.fastq,1,10493837860,,GSM3394192,SINGLE,Bisulfite-Seq,RANDOM,SRS3796288,SRX4710589,GSM3394192: Mouse_Adipose_SH021; Mus musculus; Bisulfite-Seq,SAMN10085174,PRJNA491712,3352016987,mapped
GSE120137,SRR7871511,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871511.fastq,1,10145035536,,GSM3394193,SINGLE,Bisulfite-Seq,RANDOM,SRS3796286,SRX4710590,GSM3394193: Mouse_Adipose_SH022; Mus musculus; Bisulfite-Seq,SAMN10085173,PRJNA491712,3240829925,mapped
GSE120137,SRR7871512,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871512.fastq,1,7459219324,,GSM3394194,SINGLE,Bisulfite-Seq,RANDOM,SRS3796289,SRX4710591,GSM3394194: Mouse_Adipose_SH023; Mus musculus; Bisulfite-Seq,SAMN10085172,PRJNA491712,2384693325,mapped
GSE120137,SRR7871513,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871513.fastq,1,11084144396,,GSM3394195,SINGLE,Bisulfite-Seq,RANDOM,SRS3796290,SRX4710592,GSM3394195: Mouse_Adipose_SH024; Mus musculus; Bisulfite-Seq,SAMN10085171,PRJNA491712,3540057575,mapped
GSE120137,SRR7871514,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871514.fastq,1,9349223110,,GSM3394196,SINGLE,Bisulfite-Seq,RANDOM,SRS3796291,SRX4710593,GSM3394196: Mouse_Adipose_SH025; Mus musculus; Bisulfite-Seq,SAMN10085170,PRJNA491712,2987133479,mapped
GSE120137,SRR7871515,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871515.fastq,1,10915651314,,GSM3394197,SINGLE,Bisulfite-Seq,RANDOM,SRS3796292,SRX4710594,GSM3394197: Mouse_Adipose_SH026; Mus musculus; Bisulfite-Seq,SAMN10085169,PRJNA491712,3486497073,mapped
GSE120137,SRR7871516,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871516.fastq,1,7990976800,,GSM3394198,SINGLE,Bisulfite-Seq,RANDOM,SRS3796293,SRX4710595,GSM3394198: Mouse_Adipose_SH027; Mus musculus; Bisulfite-Seq,SAMN10085222,PRJNA491712,2554668245,mapped
GSE120137,SRR7871517,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871517.fastq,1,8806255756,,GSM3394199,SINGLE,Bisulfite-Seq,RANDOM,SRS3796294,SRX4710596,GSM3394199: Mouse_Adipose_SH028; Mus musculus; Bisulfite-Seq,SAMN10085221,PRJNA491712,2814673555,mapped
GSE120137,SRR7871518,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871518.fastq,1,9363059682,,GSM3394200,SINGLE,Bisulfite-Seq,RANDOM,SRS3796295,SRX4710597,GSM3394200: Mouse_Adipose_SH029; Mus musculus; Bisulfite-Seq,SAMN10085220,PRJNA491712,2992135807,mapped
GSE120137,SRR7871519,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871519.fastq,1,8359740870,,GSM3394201,SINGLE,Bisulfite-Seq,RANDOM,SRS3796296,SRX4710598,GSM3394201: Mouse_Adipose_SH030; Mus musculus; Bisulfite-Seq,SAMN10085219,PRJNA491712,2672299309,mapped
GSE120137,SRR7871520,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871520.fastq,1,9745170646,,GSM3394202,SINGLE,Bisulfite-Seq,RANDOM,SRS3796297,SRX4710599,GSM3394202: Mouse_Adipose_SH031; Mus musculus; Bisulfite-Seq,SAMN10085168,PRJNA491712,3112929888,mapped
GSE120137,SRR7871521,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871521.fastq,1,10889275684,,GSM3394203,SINGLE,Bisulfite-Seq,RANDOM,SRS3796298,SRX4710600,GSM3394203: Mouse_Adipose_SH032; Mus musculus; Bisulfite-Seq,SAMN10085167,PRJNA491712,3477272541,mapped
GSE120137,SRR7871522,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871522.fastq,1,6042333498,,GSM3394204,SINGLE,Bisulfite-Seq,RANDOM,SRS3796299,SRX4710601,GSM3394204: Mouse_Adipose_SH033; Mus musculus; Bisulfite-Seq,SAMN10085223,PRJNA491712,1932699034,mapped
GSE120137,SRR7871523,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871523.fastq,1,11118482636,,GSM3394205,SINGLE,Bisulfite-Seq,RANDOM,SRS3796300,SRX4710602,GSM3394205: Mouse_Adipose_SH034; Mus musculus; Bisulfite-Seq,SAMN10085218,PRJNA491712,3550487138,mapped
GSE120137,SRR7871524,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871524.fastq,1,5929007968,,GSM3394206,SINGLE,Bisulfite-Seq,RANDOM,SRS3796301,SRX4710603,GSM3394206: Mouse_Adipose_SH035; Mus musculus; Bisulfite-Seq,SAMN10085217,PRJNA491712,1897353175,mapped
GSE120137,SRR7871525,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871525.fastq,1,7051839834,,GSM3394207,SINGLE,Bisulfite-Seq,RANDOM,SRS3796302,SRX4710604,GSM3394207: Mouse_Adipose_SH036; Mus musculus; Bisulfite-Seq,SAMN10085216,PRJNA491712,2255277480,mapped
GSE120137,SRR7871526,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871526.fastq,1,7030480096,,GSM3394208,SINGLE,Bisulfite-Seq,RANDOM,SRS3796303,SRX4710605,GSM3394208: Mouse_Adipose_SH037; Mus musculus; Bisulfite-Seq,SAMN10085215,PRJNA491712,2248485634,mapped
GSE120137,SRR7871527,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871527.fastq,1,13777654540,,GSM3394209,SINGLE,Bisulfite-Seq,RANDOM,SRS3796304,SRX4710606,GSM3394209: Mouse_Adipose_SH038; Mus musculus; Bisulfite-Seq,SAMN10085214,PRJNA491712,4398041263,mapped
GSE120137,SRR7871528,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871528.fastq,1,7244973962,,GSM3394210,SINGLE,Bisulfite-Seq,RANDOM,SRS3796305,SRX4710607,GSM3394210: Mouse_Adipose_SH039; Mus musculus; Bisulfite-Seq,SAMN10085213,PRJNA491712,2316903741,mapped
GSE120137,SRR7871529,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871529.fastq,1,11499216310,,GSM3394211,SINGLE,Bisulfite-Seq,RANDOM,SRS3796306,SRX4710608,GSM3394211: Mouse_Adipose_SH040; Mus musculus; Bisulfite-Seq,SAMN10085212,PRJNA491712,3671929437,mapped
GSE120137,SRR7871530,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871530.fastq,1,9247507574,,GSM3394212,SINGLE,Bisulfite-Seq,RANDOM,SRS3796307,SRX4710609,GSM3394212: Mouse_Adipose_SH041; Mus musculus; Bisulfite-Seq,SAMN10085211,PRJNA491712,2954933568,mapped
GSE120137,SRR7871531,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871531.fastq,1,9018503606,,GSM3394213,SINGLE,Bisulfite-Seq,RANDOM,SRS3796308,SRX4710610,GSM3394213: Mouse_Adipose_SH042; Mus musculus; Bisulfite-Seq,SAMN10085210,PRJNA491712,2882027930,mapped
GSE120137,SRR7871532,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871532.fastq,1,8793532622,,GSM3394214,SINGLE,Bisulfite-Seq,RANDOM,SRS3796309,SRX4710611,GSM3394214: Mouse_Adipose_SH043; Mus musculus; Bisulfite-Seq,SAMN10085209,PRJNA491712,2810275005,mapped
GSE120137,SRR7871533,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871533.fastq,1,9008136872,,GSM3394215,SINGLE,Bisulfite-Seq,RANDOM,SRS3796311,SRX4710612,GSM3394215: Mouse_Adipose_SH044; Mus musculus; Bisulfite-Seq,SAMN10085208,PRJNA491712,2878710282,mapped
GSE120137,SRR7871534,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871534.fastq,1,5430456012,,GSM3394216,SINGLE,Bisulfite-Seq,RANDOM,SRS3796310,SRX4710613,GSM3394216: Mouse_Adipose_SH045; Mus musculus; Bisulfite-Seq,SAMN10085252,PRJNA491712,1738236361,mapped
GSE120137,SRR7871535,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871535.fastq,1,8676539100,,GSM3394217,SINGLE,Bisulfite-Seq,RANDOM,SRS3796312,SRX4710614,GSM3394217: Mouse_Adipose_SH046; Mus musculus; Bisulfite-Seq,SAMN10085251,PRJNA491712,2772943486,mapped
GSE120137,SRR7871536,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871536.fastq,1,8619668694,,GSM3394218,SINGLE,Bisulfite-Seq,RANDOM,SRS3796313,SRX4710615,GSM3394218: Mouse_Adipose_SH047; Mus musculus; Bisulfite-Seq,SAMN10085250,PRJNA491712,2754844488,mapped
GSE120137,SRR7871537,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871537.fastq,1,9984243374,,GSM3394219,SINGLE,Bisulfite-Seq,RANDOM,SRS3796314,SRX4710616,GSM3394219: Mouse_Adipose_SH048; Mus musculus; Bisulfite-Seq,SAMN10085249,PRJNA491712,3189851185,mapped
GSE120137,SRR7871538,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871538.fastq,1,13111864848,,GSM3394220,SINGLE,Bisulfite-Seq,RANDOM,SRS3796315,SRX4710617,GSM3394220: Mouse_Adipose_SH049; Mus musculus; Bisulfite-Seq,SAMN10085248,PRJNA491712,4186185986,mapped
GSE120137,SRR7871539,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871539.fastq,1,13191627032,,GSM3394221,SINGLE,Bisulfite-Seq,RANDOM,SRS3796316,SRX4710618,GSM3394221: Mouse_Adipose_SH050; Mus musculus; Bisulfite-Seq,SAMN10085247,PRJNA491712,4211576174,mapped
GSE120137,SRR7871540,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871540.fastq,1,12175951866,,GSM3394222,SINGLE,Bisulfite-Seq,RANDOM,SRS3796317,SRX4710619,GSM3394222: Mouse_Adipose_SH051; Mus musculus; Bisulfite-Seq,SAMN10085246,PRJNA491712,3887873699,mapped
GSE120137,SRR7871541,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871541.fastq,1,11217153858,,GSM3394223,SINGLE,Bisulfite-Seq,RANDOM,SRS3796318,SRX4710620,GSM3394223: Mouse_Adipose_SH052; Mus musculus; Bisulfite-Seq,SAMN10085245,PRJNA491712,3582162152,mapped
GSE120137,SRR7871542,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871542.fastq,1,8578787016,,GSM3394224,SINGLE,Bisulfite-Seq,RANDOM,SRS3796319,SRX4710621,GSM3394224: Mouse_Adipose_SH053; Mus musculus; Bisulfite-Seq,SAMN10085244,PRJNA491712,2741412296,mapped
GSE120137,SRR7871543,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871543.fastq,1,13626185364,,GSM3394225,SINGLE,Bisulfite-Seq,RANDOM,SRS3796321,SRX4710622,GSM3394225: Mouse_Adipose_SH054; Mus musculus; Bisulfite-Seq,SAMN10085243,PRJNA491712,4350006572,mapped
GSE120137,SRR7871544,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871544.fastq,1,10823863194,,GSM3394226,SINGLE,Bisulfite-Seq,RANDOM,SRS3796320,SRX4710623,GSM3394226: Mouse_Adipose_SH055; Mus musculus; Bisulfite-Seq,SAMN10085242,PRJNA491712,3456901245,mapped
GSE120137,SRR7871545,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871545.fastq,1,13432650770,,GSM3394227,SINGLE,Bisulfite-Seq,RANDOM,SRS3796322,SRX4710624,GSM3394227: Mouse_Adipose_SH056; Mus musculus; Bisulfite-Seq,SAMN10085241,PRJNA491712,4288342133,mapped
GSE120137,SRR7871561,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871561.fastq,1,5747974336,,GSM3394243,SINGLE,Bisulfite-Seq,RANDOM,SRS3796337,SRX4710640,GSM3394243: Mouse_Blood_SH019; Mus musculus; Bisulfite-Seq,SAMN10085195,PRJNA491712,1839164146,mapped
GSE120137,SRR7871577,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871577.fastq,1,7095578180,,GSM3394259,SINGLE,Bisulfite-Seq,RANDOM,SRS3796353,SRX4710656,GSM3394259: Mouse_Blood_SH059; Mus musculus; Bisulfite-Seq,SAMN10085325,PRJNA491712,2268598471,mapped
GSE120137,SRR7871582,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871582.fastq,1,8127593190,,GSM3394264,SINGLE,Bisulfite-Seq,RANDOM,SRS3796359,SRX4710661,GSM3394264: Mouse_Blood_SH065; Mus musculus; Bisulfite-Seq,SAMN10085320,PRJNA491712,2597436998,mapped
GSE120137,SRR7871618,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871618.fastq,1,4054937428,,GSM3394300,SINGLE,Bisulfite-Seq,RANDOM,SRS3796394,SRX4710697,GSM3394300: Mouse_Kidney_SH001; Mus musculus; Bisulfite-Seq,SAMN10084997,PRJNA491712,1299326721,mapped
GSE120137,SRR7871619,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871619.fastq,1,3540403286,,GSM3394301,SINGLE,Bisulfite-Seq,RANDOM,SRS3796395,SRX4710698,GSM3394301: Mouse_Kidney_SH002; Mus musculus; Bisulfite-Seq,SAMN10084996,PRJNA491712,1135386248,mapped
GSE120137,SRR7871620,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871620.fastq,1,4702478934,,GSM3394302,SINGLE,Bisulfite-Seq,RANDOM,SRS3796396,SRX4710699,GSM3394302: Mouse_Kidney_SH003; Mus musculus; Bisulfite-Seq,SAMN10084995,PRJNA491712,1505741835,mapped
GSE120137,SRR7871621,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871621.fastq,1,3757225730,,GSM3394303,SINGLE,Bisulfite-Seq,RANDOM,SRS3796398,SRX4710700,GSM3394303: Mouse_Kidney_SH004; Mus musculus; Bisulfite-Seq,SAMN10084994,PRJNA491712,1204484489,mapped
GSE120137,SRR7871622,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871622.fastq,1,3030354272,,GSM3394304,SINGLE,Bisulfite-Seq,RANDOM,SRS3796397,SRX4710701,GSM3394304: Mouse_Kidney_SH005; Mus musculus; Bisulfite-Seq,SAMN10084993,PRJNA491712,972613234,mapped
GSE120137,SRR7871623,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871623.fastq,1,2862067828,,GSM3394305,SINGLE,Bisulfite-Seq,RANDOM,SRS3796399,SRX4710702,GSM3394305: Mouse_Kidney_SH006; Mus musculus; Bisulfite-Seq,SAMN10084992,PRJNA491712,918650752,mapped
GSE120137,SRR7871624,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871624.fastq,1,3118402120,,GSM3394306,SINGLE,Bisulfite-Seq,RANDOM,SRS3796401,SRX4710703,GSM3394306: Mouse_Kidney_SH007; Mus musculus; Bisulfite-Seq,SAMN10084991,PRJNA491712,1000845966,mapped
GSE120137,SRR7871625,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871625.fastq,1,2983971074,,GSM3394307,SINGLE,Bisulfite-Seq,RANDOM,SRS3796403,SRX4710704,GSM3394307: Mouse_Kidney_SH008; Mus musculus; Bisulfite-Seq,SAMN10084990,PRJNA491712,957755124,mapped
GSE120137,SRR7871627,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871627.fastq,1,4375065436,,GSM3394309,SINGLE,Bisulfite-Seq,RANDOM,SRS3796400,SRX4710706,GSM3394309: Mouse_Kidney_SH010; Mus musculus; Bisulfite-Seq,SAMN10085037,PRJNA491712,1401574980,mapped
GSE120137,SRR7871628,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871628.fastq,1,5492196510,,GSM3394310,SINGLE,Bisulfite-Seq,RANDOM,SRS3796404,SRX4710707,GSM3394310: Mouse_Kidney_SH011; Mus musculus; Bisulfite-Seq,SAMN10085036,PRJNA491712,1757607151,mapped
GSE120137,SRR7871629,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871629.fastq,1,5403135934,,GSM3394311,SINGLE,Bisulfite-Seq,RANDOM,SRS3796406,SRX4710708,GSM3394311: Mouse_Kidney_SH012; Mus musculus; Bisulfite-Seq,SAMN10085035,PRJNA491712,1729222313,mapped
GSE120137,SRR7871630,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871630.fastq,1,4916830390,,GSM3394312,SINGLE,Bisulfite-Seq,RANDOM,SRS3796405,SRX4710709,GSM3394312: Mouse_Kidney_SH013; Mus musculus; Bisulfite-Seq,SAMN10085034,PRJNA491712,1574208927,mapped
GSE120137,SRR7871631,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871631.fastq,1,3918429746,,GSM3394313,SINGLE,Bisulfite-Seq,RANDOM,SRS3796407,SRX4710710,GSM3394313: Mouse_Kidney_SH014; Mus musculus; Bisulfite-Seq,SAMN10085033,PRJNA491712,1256002872,mapped
GSE120137,SRR7871632,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871632.fastq,1,3953645194,,GSM3394314,SINGLE,Bisulfite-Seq,RANDOM,SRS3796408,SRX4710711,GSM3394314: Mouse_Kidney_SH015; Mus musculus; Bisulfite-Seq,SAMN10085032,PRJNA491712,1267228719,mapped
GSE120137,SRR7871633,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871633.fastq,1,3978606184,,GSM3394315,SINGLE,Bisulfite-Seq,RANDOM,SRS3796409,SRX4710712,GSM3394315: Mouse_Kidney_SH016; Mus musculus; Bisulfite-Seq,SAMN10085031,PRJNA491712,1275196003,mapped
GSE120137,SRR7871638,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871638.fastq,1,4996352470,,GSM3394320,SINGLE,Bisulfite-Seq,RANDOM,SRS3796414,SRX4710717,GSM3394320: Mouse_Kidney_SH021; Mus musculus; Bisulfite-Seq,SAMN10084989,PRJNA491712,1599514073,mapped
GSE120137,SRR7871639,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871639.fastq,1,3635230646,,GSM3394321,SINGLE,Bisulfite-Seq,RANDOM,SRS3796416,SRX4710718,GSM3394321: Mouse_Kidney_SH022; Mus musculus; Bisulfite-Seq,SAMN10084988,PRJNA491712,1165700994,mapped
GSE120137,SRR7871640,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871640.fastq,1,3838406502,,GSM3394322,SINGLE,Bisulfite-Seq,RANDOM,SRS3796415,SRX4710719,GSM3394322: Mouse_Kidney_SH023; Mus musculus; Bisulfite-Seq,SAMN10084987,PRJNA491712,1230467547,mapped
GSE120137,SRR7871641,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871641.fastq,1,4507728764,,GSM3394323,SINGLE,Bisulfite-Seq,RANDOM,SRS3796417,SRX4710720,GSM3394323: Mouse_Kidney_SH024; Mus musculus; Bisulfite-Seq,SAMN10084986,PRJNA491712,1443809645,mapped
GSE120137,SRR7871642,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871642.fastq,1,3069716016,,GSM3394324,SINGLE,Bisulfite-Seq,RANDOM,SRS3796418,SRX4710721,GSM3394324: Mouse_Kidney_SH025; Mus musculus; Bisulfite-Seq,SAMN10084979,PRJNA491712,985436901,mapped
GSE120137,SRR7871643,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871643.fastq,1,3399668642,,GSM3394325,SINGLE,Bisulfite-Seq,RANDOM,SRS3796419,SRX4710722,GSM3394325: Mouse_Kidney_SH026; Mus musculus; Bisulfite-Seq,SAMN10084978,PRJNA491712,1090626785,mapped
GSE120137,SRR7871644,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871644.fastq,1,4630571838,,GSM3394326,SINGLE,Bisulfite-Seq,RANDOM,SRS3796421,SRX4710723,GSM3394326: Mouse_Kidney_SH027; Mus musculus; Bisulfite-Seq,SAMN10084985,PRJNA491712,1482820289,mapped
GSE120137,SRR7871645,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871645.fastq,1,3948178604,,GSM3394327,SINGLE,Bisulfite-Seq,RANDOM,SRS3796422,SRX4710724,GSM3394327: Mouse_Kidney_SH029; Mus musculus; Bisulfite-Seq,SAMN10084984,PRJNA491712,1265536565,mapped
GSE120137,SRR7871646,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871646.fastq,1,3497990920,,GSM3394328,SINGLE,Bisulfite-Seq,RANDOM,SRS3796424,SRX4710725,GSM3394328: Mouse_Kidney_SH030; Mus musculus; Bisulfite-Seq,SAMN10084983,PRJNA491712,1121997890,mapped
GSE120137,SRR7871647,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871647.fastq,1,3282066674,,GSM3394329,SINGLE,Bisulfite-Seq,RANDOM,SRS3796420,SRX4710726,GSM3394329: Mouse_Kidney_SH031; Mus musculus; Bisulfite-Seq,SAMN10084982,PRJNA491712,1053185277,mapped
