dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,pilot_priority,queue_status,bismark_authorized,training_authorized,age_weeks,tissue,sex,intervention,fastq_gib
GSE80672,GSM2132716,SRR3440569,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440569_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440569_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,2.912,blood,M,control,14.493646
GSE80672,GSM2132717,SRR3440570,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440570_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,2.912,blood,M,control,12.949478
GSE80672,GSM2132718,SRR3440571,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440571_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440571_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,5.084,blood,M,control,16.717829
GSE80672,GSM2132719,SRR3440572,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440572_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440572_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,5.084,blood,M,control,14.601217
GSE80672,GSM2132720,SRR3440573,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440573_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440573_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,5.084,blood,M,control,11.815983
GSE80672,GSM2132721,SRR3440574,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440574_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440574_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,5.084,blood,M,control,11.809997
GSE80672,GSM2132722,SRR3440575,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440575_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440575_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,5.084,blood,M,control,13.275923
GSE80672,GSM2132723,SRR3440576,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440576_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440576_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,5.084,blood,M,control,16.68155
GSE80672,GSM2132815,SRR3440696,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440696_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440696_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,4.58867
GSE80672,GSM2132816,SRR3440698,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440698_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440698_2.fastq,1,2,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,5.115659
GSE80672,GSM2132817,SRR3440700;SRR3440701,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440700_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440701_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440700_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440701_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,10.198391
GSE80672,GSM2132818,SRR3440702;SRR3440703,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440702_1.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440703_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440702_2.fastq;/data/mouse_methyl/raw/GSE80672/fastq/SRR3440703_2.fastq,2,4,0,v25_authorized_full_passed_gate,False,False,10.864,fibroblast,M,control,4.97264
