dataset,sample_id,run_accessions,r1_paths,r2_paths,n_runs,n_fastq_files,fastq_gib,age_weeks,tissue,sex,intervention,title,condition_family,selection_reason,selection_rank_within_reason,already_completed_raw_region_beta,pilot_priority
GSE80672,GSM2132739,SRR3440599,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440599_2.fastq,1,2,4.306863,117.334,blood,M,CR,B6_CR2701,,cr_age_balanced,6,False,1
GSE80672,GSM2132742,SRR3440604,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440604_2.fastq,1,2,4.651863,117.334,blood,M,CR,B6_CR2704,,cr_age_balanced,11,False,1
GSE93957,GSM2465647,SRR5195653,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195653_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195653_2.fastq,1,2,9.90518,1.0,brain_cortex,unknown,control,Cortex_1wk_M01NB,,age_tissue_balanced,1,False,2
GSE93957,GSM2465650,SRR5195656,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195656_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195656_2.fastq,1,2,7.428101,1.0,lung,unknown,control,Lung_1wk_M01NB,,age_tissue_balanced,3,False,2
GSE93957,GSM2465655,SRR5195661,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195661_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195661_2.fastq,1,2,13.209831,1.0,heart,unknown,control,Heart_1wk_M03NB,,age_tissue_balanced,2,False,2
GSE93957,GSM2465662,SRR5195668,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195668_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195668_2.fastq,1,2,11.888428,14.0,heart,unknown,control,Heart_14wk_M0420527,,age_tissue_balanced,5,False,2
GSE93957,GSM2465664,SRR5195670,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195670_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195670_2.fastq,1,2,15.781472,14.0,lung,unknown,control,Lung_14wk_M0420527,,age_tissue_balanced,6,False,2
GSE93957,GSM2465673,SRR5195679,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195679_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195679_2.fastq,1,2,11.405117,14.0,brain_cortex,unknown,control,Cortex_14wk_M0520522,,age_tissue_balanced,4,False,2
GSE93957,GSM2465637,SRR5195643,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195643_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195643_2.fastq,1,2,5.193801,27.0,liver,unknown,control,Liver_27wk_M00018752,,age_tissue_balanced,8,False,2
GSE93957,GSM2465643,SRR5195649,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195649_1.fastq,/data/mouse_methyl/raw/GSE93957/fastq/SRR5195649_2.fastq,1,2,15.709016,27.0,brain_cortex,unknown,control,Cortex_27wk_M0112371,,age_tissue_balanced,7,False,2
