dataset,run_accession,sample_id,library_layout,fastq_count,mates_present,missing_mate,pairing_status,total_size_bytes,total_size_gib,local_paths
GSE120137,SRR7871543,GSM3394225,SINGLE,1,,,single_or_unknown,13626185364,12.690374,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871543.fastq
GSE120137,SRR7871544,GSM3394226,SINGLE,1,,,single_or_unknown,10823863194,10.080508,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871544.fastq
GSE120137,SRR7871545,GSM3394227,SINGLE,1,,,single_or_unknown,13432650770,12.510131,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871545.fastq
GSE120137,SRR7871561,GSM3394243,SINGLE,1,,,single_or_unknown,5747974336,5.353218,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871561.fastq
GSE120137,SRR7871577,GSM3394259,SINGLE,1,,,single_or_unknown,7095578180,6.608272,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871577.fastq
GSE120137,SRR7871582,GSM3394264,SINGLE,1,,,single_or_unknown,8127593190,7.569411,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871582.fastq
GSE120137,SRR7871618,GSM3394300,SINGLE,1,,,single_or_unknown,4054937428,3.776455,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871618.fastq
GSE120137,SRR7871619,GSM3394301,SINGLE,1,,,single_or_unknown,3540403286,3.297258,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871619.fastq
GSE120137,SRR7871620,GSM3394302,SINGLE,1,,,single_or_unknown,4702478934,4.379525,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871620.fastq
GSE120137,SRR7871621,GSM3394303,SINGLE,1,,,single_or_unknown,3757225730,3.499189,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871621.fastq
GSE120137,SRR7871622,GSM3394304,SINGLE,1,,,single_or_unknown,3030354272,2.822237,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871622.fastq
GSE120137,SRR7871623,GSM3394305,SINGLE,1,,,single_or_unknown,2862067828,2.665508,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871623.fastq
GSE120137,SRR7871624,GSM3394306,SINGLE,1,,,single_or_unknown,3118402120,2.904238,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871624.fastq
GSE120137,SRR7871625,GSM3394307,SINGLE,1,,,single_or_unknown,2983971074,2.77904,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871625.fastq
GSE120137,SRR7871627,GSM3394309,SINGLE,1,,,single_or_unknown,4375065436,4.074597,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871627.fastq
GSE120137,SRR7871628,GSM3394310,SINGLE,1,,,single_or_unknown,5492196510,5.115007,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871628.fastq
GSE120137,SRR7871629,GSM3394311,SINGLE,1,,,single_or_unknown,5403135934,5.032062,/data/mouse_methyl/raw/GSE120137/fastq/SRR7871629.fastq
