dataset,run_accession,mate,file_name,local_path,size_bytes,size_gib,mtime_utc,is_gzip,raw_root
GSE80672,SRR3440580,1.0,SRR3440580_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440580_1.fastq,2616710196,2.437001,2026-05-03T16:27:05.087101+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440580,2.0,SRR3440580_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440580_2.fastq,2616710196,2.437001,2026-05-03T16:27:05.079101+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440581,1.0,SRR3440581_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440581_1.fastq,3858359116,3.593377,2026-05-03T17:32:10.945201+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440581,2.0,SRR3440581_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440581_2.fastq,3858359116,3.593377,2026-05-03T17:32:10.954201+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440582,1.0,SRR3440582_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_1.fastq,4831141844,4.499351,2026-05-03T18:37:08.008189+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440582,2.0,SRR3440582_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440582_2.fastq,4831141844,4.499351,2026-05-03T18:37:07.995189+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440583,1.0,SRR3440583_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440583_1.fastq,2037360564,1.89744,2026-05-03T19:03:05.030961+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440583,2.0,SRR3440583_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440583_2.fastq,2037360564,1.89744,2026-05-03T19:03:05.030961+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440584,1.0,SRR3440584_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440584_1.fastq,2970206044,2.76622,2026-05-03T19:37:19.462011+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440584,2.0,SRR3440584_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440584_2.fastq,2970206044,2.76622,2026-05-03T19:37:19.462011+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440585,1.0,SRR3440585_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440585_1.fastq,2564241540,2.388136,2026-05-03T20:10:23.341820+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440585,2.0,SRR3440585_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440585_2.fastq,2564241540,2.388136,2026-05-03T20:10:23.343820+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440586,1.0,SRR3440586_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440586_1.fastq,3828223012,3.565311,2026-05-03T20:59:40.393505+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440586,2.0,SRR3440586_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440586_2.fastq,3828223012,3.565311,2026-05-03T20:59:40.385504+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440587,1.0,SRR3440587_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_1.fastq,3269056380,3.044546,2026-05-03T21:43:29.416233+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440587,2.0,SRR3440587_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440587_2.fastq,3269056380,3.044546,2026-05-03T21:43:30.020264+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440588,1.0,SRR3440588_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440588_1.fastq,1764435444,1.643259,2026-04-26T10:04:45.022878+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440588,2.0,SRR3440588_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440588_2.fastq,1764435444,1.643259,2026-04-26T10:04:45.020878+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440589,1.0,SRR3440589_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440589_1.fastq,2538068228,2.36376,2026-05-03T22:14:47.954864+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440589,2.0,SRR3440589_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440589_2.fastq,2538068228,2.36376,2026-05-03T22:14:47.953864+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440590,1.0,SRR3440590_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_1.fastq,1470617772,1.36962,2026-04-26T10:21:07.476056+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440590,2.0,SRR3440590_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440590_2.fastq,1470617772,1.36962,2026-04-26T10:21:07.498057+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440591,1.0,SRR3440591_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440591_1.fastq,1805996880,1.681966,2026-04-26T10:34:39.766458+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440591,2.0,SRR3440591_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440591_2.fastq,1805996880,1.681966,2026-04-26T10:34:39.795459+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440592,1.0,SRR3440592_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440592_1.fastq,2483893676,2.313306,2026-04-26T10:49:25.522935+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440592,2.0,SRR3440592_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440592_2.fastq,2483893676,2.313306,2026-04-26T10:49:25.529935+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440593,1.0,SRR3440593_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_1.fastq,3070571100,2.859692,2026-05-03T22:53:43.365486+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440593,2.0,SRR3440593_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440593_2.fastq,3070571100,2.859692,2026-05-03T22:53:43.369486+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440594,1.0,SRR3440594_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440594_1.fastq,3395178540,3.162006,2026-05-03T23:37:52.097240+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440594,2.0,SRR3440594_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440594_2.fastq,3395178540,3.162006,2026-05-03T23:37:52.109241+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440595,1.0,SRR3440595_1.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440595_1.fastq,5329173228,4.963179,2026-05-04T00:46:29.747595+00:00,False,/data/mouse_methyl/raw
GSE80672,SRR3440595,2.0,SRR3440595_2.fastq,/data/mouse_methyl/raw/GSE80672/fastq/SRR3440595_2.fastq,5329173228,4.963179,2026-05-04T00:46:29.753595+00:00,False,/data/mouse_methyl/raw
