age_weeks,characteristics,dataset,intervention_guess,raw_age_token,raw_age_unit,sample_id,source_name,tissue_guess,title
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590410,Upper Small Intestine Epithelium,intestine,18 month USI_GFP+_B
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590411,Colon Epithelium,intestine,18 month COL_GFP-_A
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590412,Colon Epithelium,intestine,18 month COL_GFP-_B
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590413,Colon Epithelium,intestine,18 month COL_GFP+_A
78.223,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,18 month,month,GSM6590414,Colon Epithelium,intestine,18 month COL_GFP+_B
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590415,Lower Small Intestine Epithelium,intestine,24 month LSI_GFP-_A
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590416,Lower Small Intestine Epithelium,intestine,24 month LSI_GFP-_B
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590417,Lower Small Intestine Epithelium,intestine,24 month LSI_GFP+_A
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590418,Lower Small Intestine Epithelium,intestine,24 month LSI_GFP+_B
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590419,Upper Small Intestine Epithelium,intestine,24 month USI_GFP-_A
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590420,Upper Small Intestine Epithelium,intestine,24 month USI_GFP-_B
,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,,,GSM6590421,Upper Small Intestine Epithelium,intestine,24 monthUSI_GFP+_A
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590422,Upper Small Intestine Epithelium,intestine,24 month USI_GFP+_B
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590423,Colon Epithelium,intestine,24 month COL_GFP-_A
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590424,Colon Epithelium,intestine,24 month COL_GFP-_B
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590425,Colon Epithelium,intestine,24 month COL_GFP+_A
104.297,cell type: Intestine epithelial cells | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590426,Colon Epithelium,intestine,24 month COL_GFP+_B
17.383,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590427,Whole Blood,blood,4 month whole blood_A
17.383,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590428,Whole Blood,blood,4 month whole blood_B
17.383,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590429,Whole Blood,blood,4 month whole blood_C
52.149,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590430,Whole Blood,blood,12 month whole blood_A
52.149,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590431,Whole Blood,blood,12 month whole blood_B
52.149,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590432,Whole Blood,blood,12 month whole blood_C
104.297,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590433,Whole Blood,blood,24 month whole blood_A
104.297,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590434,Whole Blood,blood,24 month whole blood_B
104.297,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590435,Whole Blood,blood,24 month whole blood_C
104.297,cell type: Whole Blood | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590436,Whole Blood,blood,24 month whole blood_D
17.383,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590437,Heart,heart,4 month Heart_A
17.383,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590438,Heart,heart,4 month Heart_B
17.383,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590439,Heart,heart,4 month Heart_C
17.383,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590440,Heart,heart,4 month Heart_D
17.383,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590441,Heart,heart,4 month Heart_E
17.383,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,4 month,month,GSM6590442,Heart,heart,4 month Heart_F
52.149,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590443,Heart,heart,12 month Heart_A
52.149,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590444,Heart,heart,12 month Heart_B
52.149,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590445,Heart,heart,12 month Heart_C
52.149,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590446,Heart,heart,12 month Heart_D
52.149,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590447,Heart,heart,12 month Heart_E
52.149,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,12 month,month,GSM6590448,Heart,heart,12 month Heart_F
104.297,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590449,Heart,heart,24 month Heart_A
104.297,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590450,Heart,heart,24 month Heart_B
104.297,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590451,Heart,heart,24 month Heart_C
104.297,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590452,Heart,heart,24 month Heart_D
104.297,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590453,Heart,heart,24 month Heart_E
104.297,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,24 month,month,GSM6590454,Heart,heart,24 month Heart_F
108.643,cell type: Heart | strain: Lgr5-FP-IRES-CreERT2,GSE213628,,25 month,month,GSM6590455,Heart,heart,25 month Heart_G
