archive_or_file,available,content_type,dataset,filelist_error,filelist_size_bytes,filelist_time,filelist_type,head_error,http_status,remote_last_modified,remote_size_bytes,supplement_name,supplement_url
File,,,GSE175410,,23437315,10/09/2020 05:04:20,COV,,,,,GSM5333077_zr3463_11_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333077_zr3463_11_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,22708300,10/05/2020 15:14:23,COV,,,,,GSM5333078_zr3463_12_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333078_zr3463_12_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,23294443,10/05/2020 15:19:11,COV,,,,,GSM5333079_zr3463_13_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333079_zr3463_13_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,25598384,10/05/2020 15:26:01,COV,,,,,GSM5333080_zr3463_14_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333080_zr3463_14_R1_val_1_bismark_bt2_pe.bismark.cov.gz
File,,,GSE175410,,21868367,10/05/2020 15:31:45,COV,,,,,GSM5333081_zr3463_15_R1_val_1_bismark_bt2_pe.bismark.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE175nnn/GSE175410/suppl/GSM5333081_zr3463_15_R1_val_1_bismark_bt2_pe.bismark.cov.gz
Archive,True,application/x-tar,GSE213628,,3260723200,02/13/2024 19:30:55,TAR,,200,"Wed, 14 Feb 2024 00:30:55 GMT",3260723200,GSE213628_RAW.tar,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSE213628_RAW.tar
File,,,GSE213628,,38790563,09/19/2022 11:46:41,COV,,,,,GSM6590383_YL_gfp_neg_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590383_YL_gfp_neg_24B.cov.gz
File,,,GSE213628,,19825346,09/19/2022 11:46:46,COV,,,,,GSM6590384_YL_gfp_neg_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590384_YL_gfp_neg_34B.cov.gz
File,,,GSE213628,,27173103,09/19/2022 11:46:55,COV,,,,,GSM6590385_YL_gfp_pos_24B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590385_YL_gfp_pos_24B.cov.gz
File,,,GSE213628,,25201913,09/19/2022 11:47:02,COV,,,,,GSM6590386_YL_gfp_pos_34B.cov.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE213nnn/GSE213628/suppl/GSM6590386_YL_gfp_pos_34B.cov.gz
